#Types Before Cut: 426
#Types After Cut: 405
#Search Hits: 0
232	1	7.323	нашла
233	1	7.323	общается
234	1	7.323	оповещение
235	1	7.323	пятое
236	1	7.323	разу
237	1	7.323	рассказывала
238	1	7.323	рассказывать
239	1	7.323	сидели
240	1	7.323	смотрят
241	1	7.323	собиралась
242	1	7.323	сомневаться
243	1	7.323	страшно
244	1	7.323	ходить
245	6	7.306	так
246	4	7.220	которая
247	2	7.021	видимо
248	2	6.848	сама
249	2	6.848	хорошо
250	1	6.290	автор
251	1	6.290	вечер
252	1	6.290	выходят
253	1	6.290	дала
254	1	6.290	добавить
255	1	6.290	ждали
256	1	6.290	максима
257	1	6.290	моего
258	1	6.290	моему
259	1	6.290	нормально
260	1	6.290	ровно
261	1	6.290	тебе
262	1	6.290	час
263	1	6.290	языке
264	3	6.202	хотя
265	11	6.008	это
266	2	5.961	четыре
267	1	5.623	допустим
268	1	5.623	ж
269	1	5.623	журнал
270	1	5.623	заплатили
271	1	5.623	интересуются
272	1	5.623	начинать
273	1	5.623	омске
274	1	5.623	оставалось
275	1	5.623	продают
276	1	5.623	скажем
277	4	5.549	нет
278	3	5.415	такой
279	2	5.159	какие
280	2	5.159	тоже
281	1	5.131	полчаса
282	1	5.131	появления
283	1	5.131	рядом
284	1	5.131	упала
285	3	4.910	где
286	1	4.741	знакомые
287	1	4.741	курсе
288	1	4.741	ночь
289	1	4.741	нравится
290	1	4.741	понимает
291	1	4.741	понимаю
292	1	4.741	формате
293	1	4.741	ясно
294	2	4.604	всегда
295	2	4.439	раза
296	1	4.419	имя
297	1	4.419	которыми
298	1	4.145	выходить
299	1	4.145	идее
300	1	3.908	взял
301	1	3.908	давал
302	1	3.908	дал
303	1	3.908	дома
304	1	3.908	иногда
305	1	3.908	начало
306	1	3.908	пойти
307	1	3.908	про
308	1	3.908	типа
309	1	3.908	шла
310	3	3.747	эти
311	1	3.698	вас
312	1	3.698	видно
313	1	3.698	го
314	1	3.698	метро
315	2	3.670	право
316	1	3.342	мероприятие
317	1	3.342	пришли
318	2	3.221	сегодня
319	1	3.188	выступает
320	1	3.188	нибудь
321	1	3.188	семь
322	1	3.188	таки
323	2	3.170	потому
324	22	3.152	не
325	2	3.120	москве
326	1	3.047	идти
327	1	3.047	полтора
328	1	3.047	сути
329	7	2.990	у
330	1	2.917	могло
331	1	2.917	сибири
332	1	2.917	сильно
333	1	2.684	давно
334	1	2.684	довольно
335	1	2.684	думаю
336	1	2.579	происходит
337	2	2.549	первый
338	1	2.481	самый
339	4	2.411	было
340	1	2.389	голос
341	1	2.302	города
342	3	2.268	чтобы
343	1	2.219	первую
344	1	2.219	числа
345	1	2.141	настоящее
346	1	2.067	всем
347	1	2.067	ними
348	1	2.067	человека
349	1	2.067	шесть
350	2	2.063	тогда
351	1	1.930	ничего
352	1	1.866	втором
353	1	1.866	сами
354	1	1.805	какой
355	1	1.805	месяц
356	1	1.690	идея
357	1	1.690	ней
358	1	1.637	одна
359	1	1.637	стала
360	1	1.585	пять
361	1	1.585	фактически
362	2	1.574	очень
363	17	1.560	с
364	4	1.538	только
365	1	1.355	момент
366	1	1.355	своей
367	1	1.314	вы
368	1	1.275	говорят
369	1	1.275	те
370	1	1.236	второй
371	1	1.236	которое
372	1	1.236	тому
373	1	1.199	должно
374	1	1.199	работает
375	1	1.199	сайте
376	2	1.142	когда
377	1	1.063	этим
378	3	0.952	они
379	1	0.888	надо
380	1	0.888	примерно
381	1	0.836	сам
382	1	0.598	одного
383	3	0.575	есть
384	1	0.562	него
385	1	0.545	двух
386	1	0.528	дела
387	3	0.515	все
388	1	0.511	именно
389	1	0.511	которого
390	1	0.511	кто
391	1	0.511	нас
392	3	0.472	которые
393	2	0.452	со
394	1	0.450	свою
395	31	0.423	и
396	1	0.368	другой
397	1	0.310	человек
398	1	0.299	ему
399	2	0.249	были
400	2	0.127	был
401	1	0.053	этой
402	5	0.033	он
403	1	0.018	один
404	4	0.010	его
405	1	0.000	даже
